"idVotacao";"uriVotacao";"siglaOrgao";"descricao";"siglaBancada";"uriBancada";"orientacao"
"2080470-78";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2080470-78";"PLEN";"Aprovada, em primeiro turno, a Proposta de Emenda à Constituição nº 200, de 2016. Sim: 393; não: 37; abstenção: 4; total: 434.";"Patriota";"https://dadosabertos.camara.leg.br/api/v2/partidos/37907";"Sim"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"GOV.";"";"Sim"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"Não"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"DEM";"https://dadosabertos.camara.leg.br/api/v2/partidos/36769";"Sim"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"Oposição";"";""
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"Sim"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"Solidaried";"";"Liberado"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"Novo";"https://dadosabertos.camara.leg.br/api/v2/partidos/37901";"Liberado"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PP";"https://dadosabertos.camara.leg.br/api/v2/partidos/37903";"Sim"
"2114626-17";"https://dadosabertos.camara.leg.br/api/v2/votacoes/2114626-17";"PLEN";"Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 293; não: 138; abstenção: 11; total: 442.";"PSDB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36835";"Sim"
